REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,550.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,617.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,745.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,833.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,807.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,902.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,550.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,617.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,744.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,831.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,566.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,640.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,749.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
