REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2012,"Charlottetown, Prince Edward Island",2011S0504105,Row and apartment structures of three units and over,Bachelor units,v3822844,7.3.1,513.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Row and apartment structures of three units and over,One bedroom units,v3822978,7.3.2,632.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Row and apartment structures of three units and over,Two bedroom units,v3823112,7.3.3,804.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Row and apartment structures of three units and over,Three bedroom units,v3823246,7.3.4,972.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Row structures of three units and over,Two bedroom units,v3823648,7.2.3,855.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Row structures of three units and over,Three bedroom units,v3823782,7.2.4,990.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of three units and over,Bachelor units,v3823916,7.1.1,513.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of three units and over,One bedroom units,v3824050,7.1.2,631.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of three units and over,Two bedroom units,v3824184,7.1.3,803.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of three units and over,Three bedroom units,v3824318,7.1.4,952.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of six units and over,Bachelor units,v3824452,7.4.1,520.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of six units and over,One bedroom units,v3824640,7.4.2,641.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of six units and over,Two bedroom units,v3824828,7.4.3,808.0,Charlottetown,Prince Edward Island
2012,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of six units and over,Three bedroom units,v3825016,7.4.4,964.0,Charlottetown,Prince Edward Island
